ZIP CODE,MEDIAN_AGE,MEDIAN_HOME_PRICE,MEDIAN_INCOME,STUDENT_RATIO,SCHOOL_SPENDATURE
2151,39,405600,50881,13.5,14557
2152,43.8,455400,64169,13.5,11824
2155,34.7,602200,77945,11.8,15772
2163,27.5,591000,48646,13.6,22944
2169,38.3,418400,60775,13.7,14842
2170,40.2,534000,63201,13.7,14842
2171,41.9,483400,72638,13.7,14842
2176,40.5,616800,86409,14.4,12796
2180,44.4,538700,76218,12.8,15929
2184,41.9,501200,87500,14,12452
2186,38.7,697200,113087,14.5,13818
2188,39.2,402400,70414,15.8,13113
2189,41.7,361900,60537,15.8,13113
2190,42,404800,77471,15.8,13113
2191,47.2,385800,67015,15.8,13113
2199,44.1,2742100,110284,13.6,22944
2203,40,564600,0,13.6,22944
2210,36.4,1008300,113622,13.6,22944
2215,21.5,588500,36719,13.6,22944
2301,35.1,303900,43694,15.3,13127
2302,36.6,284900,60171,15.3,13127
2322,43.6,336300,78750,11.8,12975
2333,39.8,363100,88534,17.8,11315
2338,42.5,359700,69917,15.9,12875
2339,42.4,514500,98750,14,12047
2341,44.7,383700,93771,17.5,10671
2343,46.1,330700,62909,13.5,14511
2346,44,329200,75727,14.3,13025
2347,45,401500,82418,15.9,11371
2351,40.5,378900,81500,15.3,12710
2356,41.3,493400,106989,14.5,12011
2357,19.9,321100,0,14.5,12011
2359,42.5,399100,89954,16.2,11304
2360,45.5,358800,76925,16.2,11304
2364,43.4,413200,86339,18.2,12246
2366,43.1,397500,0,12.7,12383
2367,44.5,409800,94505,14.6,14062
2368,41.7,356300,63325,12.2,18120
2370,41.2,324200,66860,15.6,20585
2375,42.6,396200,86695,14.5,12011
2379,44.1,348600,81573,14.7,12443
2382,38.9,344000,76494,17.5,10671
2420,45.5,967700,137109,12.1,17106
2421,44.7,1066100,138202,12.1,17106
2445,36,914000,95895,13.5,18013
2446,32.7,862400,79289,13.5,18013
2451,38.3,578800,81182,11.1,19400
2452,33.3,602800,74289,11.1,19400
2453,32.2,594100,67721,11.1,19400
2457,20.2,495800,0,13.2,18618
2458,42.1,954000,91672,12.4,17457
2459,42.8,1341600,135685,12.4,17457
2460,40,910800,103800,12.4,17457
2461,43.5,1039100,131125,12.4,17457
2462,51.6,895100,83500,12.4,17457
2464,43.3,659900,87428,12.4,17457
2465,43.2,937100,131853,12.4,17457
2466,36.9,979700,105106,12.4,17457
2467,23.5,1113800,113146,13.5,18013
2468,47,1447800,203009,12.4,17457
2472,38.4,589200,86522,12.1,18138
2474,39.6,758800,89466,15.8,16035
2476,44.6,793300,97647,15.8,16035
2478,41.6,963500,106172,17.1,12751
2481,36.2,1396000,177083,13.2,18618
2482,43.5,1176100,139811,13.2,18618
